song,artist,labels
Sk8er Boi,Avril Lavigne,Arista
Uh Huh,B2K,?
Still Fly,Big Tymers,Cash Money Records
Full Moon,Brandy,Atlantic
What About Us?,Brandy,Atlantic
Wherever You Will Go,Calling,RCA
A New Day has Come,Celine Dion,?
Hero,Chad Kroeger feat. Josey Scott,Roadrunner Records
7 Days,Craig David,Wildstar Records
One Last Breath,Creed,Epic
My Sacrifice,Creed,Epic
Gotta Get Thru This,Daniel Bedingfield,Relentless Records
Wasting My Time,Default,TVT Records
Days go By,Dirty Vegas,Credence
Long Time Gone,Dixie Chicks,Columbia
Heaven,DJ Sammy and Yanou feat. Do,?
Lose Yourself,Eminem,Interscope Records
Without Me,Eminem,Aftermath Entertainment
Cleanin' out my Closet,Eminem,Aftermath Entertainment
Gangsta Lovin',Eve feat. Alicia Keys,Interscope Records
I Love You,Faith Evans,Bad Boy Entertainment
What's Luv?,Fat Joe feat. Ashanti,Atlantic
We Thuggin',Fat Joe feat. R. Kelly,Atlantic
Superman (It's not Easy),Five For Fighting,Aware Records
Living and Living Well,George Strait,?
Here is Gone,Goo Goo Dolls,Warner Bros. Records
Always on Time,Ja Rule feat. Ashanti,Def Jam Recordings
Anything,Jaheim feat. Next,Warner Bros. Records
Ain't it Funny,Jennifer Lopez feat. Ja Rule,Epic
I'm Gonna Be Alright,Jennifer Lopez feat. Nas,Epic
Standing Still,Jewel,Atlantic
The Middle,Jimmy Eat World,DreamWorks Records
No Such Thing,John Mayer,Columbia
Like I Love You,Justin Timberlake,Media Records
A Moment Like This,Kelly Clarkson,RCA
The Good Stuff,Kenny Chesney,?
Can't Get You Out Of My Head,Kylie Minogue,EMI
In the End,Linkin Park,Warner Bros. Records
Luv U Better,LL Cool J,Def Jam Recordings
Roll Out (My Business),Ludacris,?
Just a Friend 2002,Mario,J Records
Rainy Dayz,Mary J. Blige feat. Ja Rule,?
Butterflies,Michael Jackson,Not On Label
All You Wanted,Michelle Branch,Maverick
Work It,"Missy ""Misdemeanor"" Elliott",?
"Lights, Camera, Action!",Mr. Cheeks,?
Halfcrazy,Musiq,Def Soul
Gone,'N Sync,?
Girlfriend,'N Sync feat. Nelly,?
Nothin',N.O.R.E.,?
Hot in Herre,Nelly,Universal Records
Dilemma,Nelly feat. Kelly Rowland,Haker Records
How You Remind Me,Nickelback,Roadrunner Records
Hey Baby,No Doubt feat. Bounty Killer,Universal Music Australia
Underneath it All,No Doubt feat. Lady Saw,Motor Music
The Whole World,OutKast feat. Killer Mike,Arista
I Need a Girl (Part One),P. Diddy feat. Usher and Loon,?
Just Like a Pill,Pink,?
Don't Let Me Get Me,Pink,?
Get the Party Started,Pink,?
Blurry,Puddle Of Mudd,Flawless Records
Gimme the Light,Sean Paul,Atlantic
Underneath your Clothes,Shakira,Sony Music Studios, Sydney
"Whenever, Wherever",Shakira,Epic
Soak up the Sun,Sheryl Crow,A&M Records
Good Morning Beautiful,Steve Holy,?
My List,Toby Keith,?
Addictive,Truth Hurts feat. Rakim,Interscope Records
Oops (Oh My),Tweet,Elektra
U Got it Bad,Usher,arista
U Don't have to Call,Usher,Arista
A Thousand Miles,Vanessa Carlton,A&M Records
Thugz Mansion,2Pac,?
Here Without You,3 Doors Down,Universal Records
When I'm Gone,3 Doors Down,Republic Records
In Da Club,50 Cent,Shady Records
P.I.M.P.,50 Cent,Shady Records
Wanksta,50 Cent,Universal Records
21 Questions,50 Cent feat. Nate Dogg,Shady Records
Miss You,Aaliyah,Edel Records
Come Over,Aaliyah,Universal Records
It's Five O'Clock Somewhere,Alan Jackson and Jimmy Buffett,?
Angel,Amanda Perez,Virgin
Rain on Me,Ashanti,Murder Inc Records
Rock Wit U (Awww Baby),Ashanti,Murder Inc Records
Like A Stone,Audioslave,Epic
I'm With You,Avril Lavigne,Arista
"Bump, Bump, Bump",B2K and P. Diddy,?
Crazy In Love,Beyonce feat. Jay-Z,?
Baby Boy,Beyonce feat. Sean Paul,?
Where Is The Love?,Black Eyed Peas,Interscope Records
Red Dirt Road,Brooks and Dunn,Arista Nashville
I Know What You Want,Busta Rhymes and Mariah Carey feat. The Flipmode Squad,?
Right Thurr,Chingy,Capitol Records
Holidae In,Chingy feat. Ludacris and Snoop Dogg,Capitol Records
Beautiful,Christina Aguilera,RCA
Fighter,Christina Aguilera,RCA
Can't Hold Us Down,Christina Aguilera feat. Lil' Kim,Rca
This Is The Night,Clay Aiken,RCA
Clocks,Coldplay,Not On Label (Coldplay)
Have You Forgotten?,Darryl Worley,DreamWorks Records Home Video
What Was I Thinkin',Dierks Bentley,Capitol Records Nashville
Landslide,Dixie Chicks,Columbia
Sing For The Moment,Eminem,Aftermath Entertainment
Superman,Eminem,Shady Records
Love Of My Life (An Ode To Hip Hop),Erykah Badu feat. Common,Motown
Bring Me To Life,Evanescence feat. Paul McCoy,Wind-Up
Can't Let You Go,Fabolous feat. Mike Shorey and Lil' Mo,Elektra
Into You,Fabolous feat. Tamia,Elektra
Sick Of Being Lonely,Field Mob,MCA Records
Say Yes,Floetry,Polydor
Don't Wanna Try,Frankie J,?
In Those Jeans,Ginuwine,Epic
Hell Yeah,Ginuwine feat. Baby,Epic
Mesmerize,Ja Rule feat. Ashanti,Def Jam Recordings
Put that Woman First,Jaheim,Warner Bros. Records
The Remedy (I Won't Worry),Jason Mraz,Elektra
Excuse Me Miss,Jay-Z,?
'03 Bonnie And Clyde,Jay-Z feat. Beyonce Knowles,?
All I Have,Jennifer Lopez feat. LL Cool J,Epic
Jenny from the Block,Jennifer Lopez feat. Styles and Jadakiss,Epic
Intuition,Jewel,Atlantic
Your Body Is A Wonderland,John Mayer,Aware Records
Cry Me A River,Justin Timberlake,Jive
Rock Your Body,Justin Timberlake,Jive
Miss Independent,Kelly Clarkson,BMG
"No Shoes, No Shirt, No Problems",Kenny Chesney,BNA Records Label
Picture,Kid Rock feat. Sheryl Crow,Atlantic
Get Low,Lil Jon and The East Side Boyz feat. Ying Yang Twins,TVT Records
Magic Stick,Lil' Kim feat. 50 Cent,Not On Label (Lil' Kim)
The Jump Off,Lil' Kim feat. Mr. Cheeks,Atlantic
My Front Porch Looking In,Lonestar,BNA Records Label
Stand Up,Ludacris feat. Shawnna,Def Jam South
"Never Leave You - Uh Ooh, Uh Oooh!",Lumidee,Universal Records
19 Somethin',Mark Wills,?
Unwell,matchbox twenty,Atlantic
Are You Happy Now?,Michelle Branch,Maverick
Gossip Folks,"Missy ""Misdemeanor"" Elliott feat. Ludacris",?
So Gone,Monica,J Records
My Love is Like... Wo,Mya,A&M Records
Shake Ya Tailfeather,"Nelly, P. Diddy and Murphy Lee",?
Don't Mess With My Man,Nivea feat. Brian and Brandon Casey,Jive
Don't Know Why,Norah Jones,Parlophone
Frontin',Pharrell feat. Jay-Z,Star Trak Entertainment
She Hates Me,Puddle Of Mudd,Flawless Records
Step In The Name Of Love,R. Kelly,?
Ignition,R. Kelly,?
Thoia Thoing,R. Kelly,?
Flying Without Wings,Ruben Studdard,J Records
The Game Of Love,Santana feat. Michelle Branch,Not On Label (Santana)
Like Glue,Sean Paul,Atlantic
Get Busy,Sean Paul,Not On Label (Sean Paul)
Forever And For Always,Shania Twain,Mercury
Beautiful,Snoop Dogg feat. Pharrell and Uncle Charlie Wilson,Capitol Records
I Want You,Thalia feat. Fat Joe,?
Where Is the Love?,The Black Eyed Peas & Justin Timberlake,?
Real Good Man,Tim McGraw,?
Calling All Angels,Train,Columbia
Headstrong,Trapt,Warner Bros. Records
How You Gonna Act Like That,Tyrese,J Records
Drift Away,Uncle Kracker feat. Dobie Gray,Lava
No Letting Go,Wayne Wonder,Atlantic
"Can't Stop, Won't Stop",Young Gunz,Roc-A-Fella Records
Damn!,YoungBloodZ feat. Lil Jon,Arista
Remember When,Alan Jackson,?
If I Ain't Got You,Alicia Keys,BMG
You Don't Know My Name,Alicia Keys,J Records
Diary,Alicia Keys feat. Tony! Toni! Tone!,Fall Out Records
Pieces of Me,Ashlee Simpson,Geffen Records
Read your Mind,Avant,Geffen Records
Don't Tell Me,Avril Lavigne,Arista
My Happy Ending,Avril Lavigne,Arista
Dude,Beenie Man feat. Ms. Thing,Virgin
"Me, Myself, and I",Beyonce,?
Naughty Girl,Beyonce,?
Let's Get It Started,Black Eyed Peas,A&M Records
Hey Mama,Black Eyed Peas,A&M Records
Everytime,Britney Spears,Jive
Toxic,Britney Spears,Sound Plus
One Call Away,Chingy feat. J. Weav,Parlophone
Dip It Low,Christina Milian,Mercury
Goodies,Ciara feat. Petey Pablo,LaFace Records
My Band,D12,?
Lose My Breath,Destiny's Child,?
White Flag,Dido,Cheeky Records
F**k It (I Don't Want you Back),Eamon,Jive
Just Lose It,Eminem,Aftermath Entertainment
My Immortal,Evanescence,Epic
One Thing,Finger Eleven,Wind-Up
100 Years,Five For Fighting,Columbia
American Idiot,Green Day,Reprise Records
Redneck Woman,Gretchen Wilson,Epic
Wanna Get To Know You,G-Unit feat. Joe,?
The Reason,Hoobastank,Island Def Jam Music Group
Why?,Jadakiss feat. Anthony Hamilton,Interscope Records
Change Clothes,Jay-Z,?
Dirt Off Your Shoulder,Jay-Z,?
With You,Jessica Simpson,Columbia
Are You Gonna Be My Girl,Jet,Capitol Records
Tipsy,J-Kwon,?
Letters from Home,John Michael Montgomery,Warner Bros. Records
Leave (Get Out),JoJo,Wagram Music
Slow Motion,Juvenile feat. Soulja Slim,Universal Records
Through the Wire,Kanye West,Roc-A-Fella Records
Jesus Walks,Kanye West,Roc-A-Fella Records
You'll Think of Me,Keith Urban,Capitol Records
Milkshake,Kelis,Virgin
Breakaway,Kelly Clarkson,RCA
I Go Back,Kenny Chesney,?
When the Sun Goes Down,Kenny Chesney and Uncle Kracker,?
Turn Me On,Kevin Lyttle feat. Spragga Benz,Atlantic
Game Over (Flip),Lil' Flip,Sony Urban Music
Sunshine,Lil' Flip feat. Lea,Columbia
Numb,Linkin Park,Machine Shop Recordings
Breaking the Habit,Linkin Park,Warner Bros. Records
Headsprung,LL Cool J,Def Jam Recordings
On Fire,Lloyd Banks,G Unit
Southside,Lloyd feat. Ashanti,Island Def Jam Music Group
Heaven,Los Lonely Boys,Epic
Splash Waterfalls,Ludacris,Def Jam South
I Don't Wanna Know,Mario Winans feat. Enya and P. Diddy,Bad Boy Entertainment
She Will be Loved,Maroon 5,Octone Records
This Love,Maroon 5,Octone Records
U Should've Known Better,Monica,J Records
My Place,Nelly feat. Jaheim,Universal Records
Over and Over,Nelly feat. Tim McGraw,Universal Records
Gigolo,Nick Cannon feat. R. Kelly,Jive
Someday,Nickelback,Roadrunner Records
Move Ya Body,Nina Sky feat. Jabba,Universal Records
It's My Life,No Doubt,Interscope Records
Roses,OutKast,LaFace Records
Hey Ya!,OutKast,Arista
The Way You Move,OutKast feat. Sleepy Brown,Arista
Freek-a-Leek,Petey Pablo,Jive
Happy People,R. Kelly,?
Sorry 2004,Ruben Studdard,J Records
On the Way Down,Ryan Cabrera,Atlantic
I'm Still in Love with You,Sean Paul feat. Sasha,Atlantic
The First Cut Is The Deepest,Sheryl Crow,A&M Records
Drop it Like it's Hot,Snoop Dogg feat. Pharrell,Not On Label (Snoop Dogg)
Meant to Live,Switchfoot,Columbia
Lean Back,Terror Squad,Universal Records
Live Like You Were Dying,Tim McGraw,Note Books
American Soldier,Toby Keith,DreamWorks Records
Overnight Celebrity,Twista,Atlantic
Slow Jamz,Twista feat. Kanye West and Jamie Foxx,Atlantic
Burn,Usher,Arista
Confessions Part II,Usher,LaFace Records
My Boo,Usher And Alicia Keys,?
Yeah!,Usher feat. Lil Jon and Ludacris,Arista
Salt Shaker,Ying Yang Twins feat. Lil Jon and The East Side Boyz,TVT Records
Let Me Go,3 Doors Down,Republic Records
Just A Lil Bit,50 Cent,Shady Records
Disco Inferno,50 Cent,Shady Records
Lonely,Akon,Universal Records
Karma,Alicia Keys,J Records
1 Thing,Amerie,Not On Label (Amerie)
Baby I'm Back,Baby Bash feat. Akon,Universal Records
Incomplete,Backstreet Boys,Jive
Don't Lie,Black Eyed Peas,Not On Label
Don't Phunk With My Heart,Black Eyed Peas,Interscope Records
My Humps,Black Eyed Peas,Universal
Slow Down,Bobby Valentino,Disturbing Tha Peace
Like You,Bow Wow feat. Ciara,So-Urban
Let Me Hold You,Bow Wow feat. Omarion,Columbia
Girlfight,Brooke Valentine feat. Lil Jon and Big Boi,Virgin
Inside Your Heaven,Carrie Underwood,Arista
Run It!,Chris Brown,CBE Entertainment
"1, 2 Step",Ciara feat. Missy Elliott,LaFace Records
Just The Girl,Click Five,?
Speed Of Sound,Coldplay,Parlophone
Listen To Your Heart,D.H.T.,?
Play,David Banner,Universal Records
Cater 2 U,Destiny's Child,?
Mockingbird,Eminem,Shady Records
Mississippi Girl,Faith Hill,?
"Sugar, We're Goin' Down",Fall Out Boy,Fueled By Ramen
Truth Is,Fantasia,J Records
Get It Poppin',Fat Joe feat. Nelly,Atlantic
Best Of You,Foo Fighters,Artsound Records
Obsession (No Es Amor),Frankie J feat. Baby Bash,?
How We Do,Game feat. 50 Cent,Interscope Records
I Don't Want To Be,Gavin DeGraw,J Records
Feel Good Inc,Gorillaz,EMI
Wake Me Up When September Ends,Green Day,Reprise Records
Boulevard Of Broken Dreams,Green Day,Reprise Records
Cool,Gwen Stefani,Interscope Records
Hollaback Girl,Gwen Stefani,Interscope Records
Rich Girl,Gwen Stefani feat. Eve,Interscope Records
Collide,Howie Day,?
Numb/Encore,Jay-Z/Linkin Park,?
Get Right,Jennifer Lopez,Epic
Beautiful Soul,Jesse McCartney,Hollywood Records
Ordinary People,John Legend,Columbia
Daughters,John Mayer,Sony Music Entertainment (Australia)
Gold Digger,Kanye West feat. Jamie Foxx,Roc-A-Fella Records
Because Of You,Kelly Clarkson,RCA
Behind These Hazel Eyes,Kelly Clarkson,RCA
Mr. Brightside,Killers,Lizard King Records
You And Me,Lifehouse,Geffen Records
Get Back,Ludacris,Not On Label
Number One Spot,Ludacris,Def Jam South
Pimpin' All Over the World,Ludacris feat. Bobby Valentino,Def Jam South
We Belong Together,Mariah Carey,Universal
It's Like That,Mariah Carey,Island Def Jam Music Group
Shake It Off,Mariah Carey,Not On Label
Let Me Love You,Mario,J Records
Back Then,Mike Jones,Warner Bros. Records
Lose Control,Missy Elliott feat. Ciara and Fat Man Scoop,Atlantic
Goin' Crazy,Natalie,Universal
These Words,Natasha Bedingfield,BMG UK & Ireland
Photograph,Nickelback,Roadrunner Records
O,Omarion,Sony Urban Music
Scars,Papa Roach,Interscope Records
Grind With Me,Pretty Ricky,Atlantic
Your Body,Pretty Ricky,Atlantic
Don't Cha,Pussycat Dolls feat. Busta Rhymes,A&M Records
Pon de Replay,Rihanna,Def Jam Recordings
Lonely No More,Rob Thomas,Atlantic
TRUE,Ryan Cabrera,Atlantic
We Be Burnin',Sean Paul,Atlantic
La Tortura,Shakira feat. Alejandro Sanz,Epic
U Don't Know Me,T.I.,?
Bring Em Out,T.I.,?
As Good As I Once Was,Toby Keith,?
I'm Sprung,T-Pain,?
Some Cut,Trillville feat. Cutty,Warner Bros. Records
Caught Up,Usher,LaFace Records
Give Me That,Webbie feat. Bun B,Asylum Records
Beverly Hills,Weezer,Geffen Records
Switch,Will Smith,Interscope Records
Wait (The Whisper Song),Ying Yang Twins,TVT Europe
Soul Survivor,Young Jeezy feat. Akon,Def Jam Recordings
Smack That,Akon feat. Eminem,UpFront Records
Dirty Little Secret,All-American Rejects,?
Move Along,All-American Rejects,?
Deja Vu,Beyonce feat. Jay-Z,?
Check on It,Beyonce feat. Slim Thug,?
Pump It,Black Eyed Peas,A&M Records
Hate Me,Blue October,Universal Records
Who Says you can't Go Home,Bon Jovi,Island Records
Ms. New Booty,Bubba Sparxxx feat. Ying Yang Twins and Mr. ColliPark,Virgin Records America, Inc.
Touch It,Busta Rhymes,Aftermath Entertainment
"Jesus, take the Wheel",Carrie Underwood,?
Everytime We Touch,Cascada,Robbins Entertainment
Me and U,Cassie,Bad Boy Entertainment
Ridin',Chamillionaire feat. Krayzie Bone,Universal Records
Pullin' Me Back,Chingy feat. Tyrese,Capitol Records
Say Goodbye,Chris Brown,Jive
Yo (Excuse Me Miss),Chris Brown,Jive
Ain't no Other Man,Christina Aguilera,RCA
Get Up,Ciara feat. Chamillionaire,LaFace Records
Put Your Records On,Corinne Bailey Rae,EMI
Laffy Taffy,D4L,?
Rompe,Daddy Yankee,Universal Music
Bad Day,Daniel Powter,Warner Bros. Records
Show Stopper,Danity Kane,Bad Boy Entertainment
"Lean Wit It, Rock Wit It",Dem Franchize Boyz feat. Lil Peanut and Charlay,Virgin Records America, Inc.
Not Ready to Make Nice,Dixie Chicks,Open Wide
U and Dat,E-40 feat. T-Pain and Kandi Girl,?
When I'm Gone,Eminem,Aftermath Entertainment
Shake That,Eminem feat. Nate Dogg,Interscope Records
Call me When You're Sober,Evanescence,Wind-Up
"Dance, Dance",Fall Out Boy,Mercury
London Bridge,Fergie,A&M Records
So What,Field Mob feat. Ciara,Disturbing Tha Peace
Where'd You Go,Fort Minor feat. Holly Brook,Warner Bros. Records
How to Save a Life,Fray,Epic
Over My Head (Cable Car),Fray,Epic
Crazy,Gnarls Barkley,Downtown Music
Lips of an Angel,Hinder,Universal Republic Records
You're Beautiful,James Blunt,Atlantic
Unpredictable,Jamie Foxx feat. Ludacris,J Records
Chain Hang Low,Jibbs,Geffen Records
Waiting on the World to Change,John Mayer,Columbia
Too Little Too Late,JoJo,Mercury
There it Go! (The Whistle Song),Juelz Santana,?
Sexyback,Justin Timberlake,Zomba Records
My Love,Justin Timberlake feat. T.I.,Zomba Records
Walk Away,Kelly Clarkson,RCA
Love,Keyshia Cole,A&M Records
Black Horse and the Cherry Tree,KT Tunstall,Relentless Records
Money Maker,Ludacris feat. Pharrell,Disturbing Tha Peace
Hung Up,Madonna,Warner Bros. Records
Don't Forget About Us,Mariah Carey,Island Records
Be Without You,Mary J. Blige,?
Unwritten,Natasha Bedingfield,BMG
Promiscuous,Nelly Furtado feat. Timbaland,Geffen Records
When You're Mad,Ne-Yo,?
So Sick,Ne-Yo,?
Sexy Love,Ne-Yo,?
What's Left of Me,Nick Lachey,Jive
Far Away,Nickelback,Roadrunner Records
Savin' Me,Nickelback,Roadrunner Records
I Write Sins not Tragedies,Panic! At The Disco,?
Stupid Girls,Pink,?
Stickwitu,Pussycat Dolls,A&M Records
Buttons,Pussycat Dolls feat. Snoop Dogg,Interscope Records
Beep,Pussycat Dolls feat. will.i.am,Not On Label (The Pussycat Dolls)
What Hurts the Most,Rascal Flatts,Lyric Street Records
Life is a Highway,Rascal Flatts,?
One Wish,Ray J,Sanctuary Records
Dani California,Red Hot Chili Peppers,Warner Bros. Records
Unfaithful,Rihanna,Def Jam Recordings
SOS,Rihanna,Def Jam Recordings
Temperature,Sean Paul,Atlantic
Hips Don't Lie,Shakira feat. Wyclef Jean,Sony BMG Music Entertainment (Australia)
Chasing Cars,Snow Patrol,Polydor
What You Know,T.I.,?
Why You Wanna,T.I.,?
Do I Make you Proud,Taylor Hicks,J Records
I'm N Luv (Wit a Stripper),T-Pain feat. Mike Jones,?
Shoulder Lean!,Young Dro feat. T.I.,?
It's Goin' Down,Yung Joc,Bad Boy Entertainment
I Know You See It,Yung Joc feat. Brandy 'Ms. B.' Hambrick,Bad Boy Entertainment
Ayo Technology,50 Cent feat. Justin Timberlake and Timbaland,Interscope Records
Don't Matter,Akon,Island Records
I Wanna Love You,Akon feat. Snoop Dogg,Universal Music
No One,Alicia Keys,J Records
It Ends Tonight,All-American Rejects,?
Rehab,Amy Winehouse,Universal Republic Records
Keep Holding On,Avril Lavigne,Columbia
Girlfriend,Avril Lavigne,RCA
Cyclone,Baby Bash feat. T-Pain,Arista
The Way I Live,Baby Boy Da Prince feat. Lil Boosie,Universal Republic Records
Irreplaceable,Beyonce,?
Beautiful Liar,Beyonce and Shakira,?
I Tried,Bone Thugs-N-Harmony feat. Akon,?
The Great Escape,Boys Like Girls,Columbia
Before He Cheats,Carrie Underwood,?
Kiss Kiss,Chris Brown feat. T-Pain,RCA
Like A Boy,Ciara,LaFace Records
Promise,Ciara,LaFace Records
Bubbly,Colbie Caillat,Universal Republic Records
Rock Yo Hips,Crime Mob feat. Lil Scrappy,Reprise Records
It's Not Over,Daughtry,RCA
Home,Daughtry,Sony BMG Music Entertainment
Last Night,Diddy feat. Keyshia Cole,Bad Boy Entertainment
Wait For You,Elliott Yamin,Hickory Records
Make Me Better,Fabolous feat. Ne-Yo,Def Jam Recordings
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,Mercury
Thnks Fr Th Mmrs,Fall Out Boy,Mercury
Make It Rain,Fat Joe feat. Lil Wayne,Terror Squad Entertainment
Big Girls Don't Cry,Fergie,A&M Records
Fergalicious,Fergie,Not On Label (Fergie (2))
Glamorous,Fergie feat. Ludacris,A&M Records
Paralyzer,Finger Eleven,Wind-Up
The Pretender,Foo Fighters,BMG Japan
Wind It Up,Gwen Stefani,Interscope Records
The Sweet Escape,Gwen Stefani feat. Akon,Interscope Records
Here (In Your Arms),Hellogoodbye,Drive-Thru Records
Better Than Me,Hinder,?
"Pop, Lock and Drop It",Huey,Jive
A Bay Bay,Hurricane Chris,Polo Grounds Music
Bed,J. Holiday,?
We Fly High,Jim Jones,Diplomats
What Goes Around Comes Around,Justin Timberlake,Jive
Summer Love,Justin Timberlake,Sony BMG Music Entertainment
Lovestoned,Justin Timberlake,Jive
Stronger,Kanye West,Roc-A-Fella Records
Never Again,Kelly Clarkson,RCA
Let It Go,Keyshia Cole feat. Missy Elliott and Lil Kim,Geffen Records
First Time,Lifehouse,Geffen Records
What I've Done,Linkin Park,Warner Music
Get It Shawty,Lloyd,Universal Motown
You,Lloyd feat. Lil' Wayne,Universal Island Records
Makes Me Wonder,Maroon 5,A&M Octone Records
This Is Why I'm Hot,Mims,Capitol Records
Welcome To The Black Parade,My Chemical Romance,Reprise Records
Say It Right,Nelly Furtado,Interscope Records
Because Of You,Ne-Yo,?
If Everyone Cared,Nickelback,Roadrunner Records
Rockstar,Nickelback,Roadrunner Records
Ice Box,Omarion,RCA
Walk Away (Remember Me),Paula DeAnda feat. The DEY,Arista
Who Knew,Pink,?
U + Ur Hand,Pink,?
Hey There Delilah,Plain White T's,?
Shawty,Plies feat. T-Pain,Slip-N-Slide Records
On The Hotline,Pretty Ricky,Atlantic
Same Girl,R. Kelly and Usher,?
Snow ((Hey Oh)),Red Hot Chili Peppers,Warner Bros. Records
Face Down,Red Jumpsuit Apparatus,Virgin
Shut Up And Drive,Rihanna,Def Jam Recordings
Break It Off,Rihanna and Sean Paul,?
Umbrella,Rihanna feat. Jay-Z,Def Jam Recordings
Lost Without U,Robin Thicke,Interscope Records
Beautiful Girls,Sean Kingston,Koch Records
Party Like A Rockstar,Shop Boyz,Universal Republic Records
Big Things Poppin' (Do It),T.I.,?
Teardrops On My Guitar,Taylor Swift,Big Machine Records
The Way I Are,Timbaland feat. Keri Hilson,Urban House Records
Give It To Me,Timbaland feat. Nelly Furtado and Justin Timberlake,Interscope Records
Apologize,Timbaland feat. OneRepublic,Malpractice
Bartender,T-Pain feat. Akon,?
Buy U A Drank (Shawty Snappin'),T-Pain feat. Yung Joc,?
2 Step,Unk,Koch Records
Walk It Out,Unk,Koch Records
Go Getta,Young Jeezy feat. R. Kelly,Def Jam Recordings
It'S Not My Time,3 Doors Down,Universal Records
Chasing Pavements,Adele,XL Recordings
Like You'll Never See Me Again,Alicia Keys,J Records
Please Read the Letter,Alison Krauss and Robert Plant,?
Womanizer,Britney Spears,Jive
Piece Of Me,Britney Spears,Jive
Sorry,Buckcherry,?
Forever,Chris Brown,Jive
With You,Chris Brown,Jive
Realize,Colbie Caillat,Universal Republic Records
What You Got,Colby O'Donis feat. Akon,?
Viva La Vida,Coldplay,Capitol Music
Damaged,Danity Kane,Bad Boy Entertainment
Feels Like Tonight,Daughtry,RCA
Crush,David Archuleta,Jive
Get Like Me,David Banner feat. Chris Brown,Street Records Corporation
The Time Of My Life,David Cook,RCA
American Boy,Estelle feat. Kanye West,Malpractice
Clumsy,Fergie,A&M Records
Low,Flo Rida feat. T-Pain,Atlantic
In The Ayer,Flo Rida feat. will.i.am,Unrestricted Black Recordings
In Love With A Girl,Gavin DeGraw,J Records
Love Remains The Same,Gavin Rossdale,Interscope Records
Suffocate,J. Holiday,?
I'm Yours,Jason Mraz,Atlantic
Leavin',Jesse McCartney,Hollywood Records
Say,John Mayer,Columbia
Burnin' Up,Jonas Brothers,Hollywood Records
Tattoo,Jordin Sparks,Jive
One Step at A Time,Jordin Sparks,Jive
No Air,Jordin Sparks feat. Chris Brown,Jive
Love Lockdown,Kanye West,Def Jam Recordings
Flashing Lights,Kanye West feat. Dwele,Roc-A-Fella Records
Good Life,Kanye West feat. T-Pain,Roc-A-Fella Records
Dangerous,Kardinal Offishall feat. Akon,Konlive
I Kissed A Girl,Katy Perry,Capitol Records
Hot N Cold,Katy Perry,Virgin
Let It Rock,Kevin Rudolf feat. Lil Wayne,Universal Music Denmark
I Remember,Keyshia Cole,?
Heaven Sent,Keyshia Cole,Geffen Records
All Summer Long,Kid Rock,Top Dog Records
Bleeding Love,Leona Lewis,Syco Music
Better In Time,Leona Lewis,Syco Music
A Milli,Lil Wayne,Cash Money Records
Lollipop,Lil Wayne feat. Static Major,Cash Money Records
Got Money,Lil Wayne feat. T-Pain,Cash Money Records
Shadow Of The Day,Linkin Park,Warner Bros. Records
Superstar,Lupe Fiasco feat. Matthew Santos,Atlantic
Paper Planes,M.I.A.,?
4 Minutes,Madonna feat. Justin Timberlake,Warner Music Colombia
Touch My Body,Mariah Carey,Island Records
Just Fine,Mary J. Blige,?
Shake It,Metro Station,Columbia
7 Things,Miley Cyrus,Hollywood Records
See You Again,Miley Cyrus,Hollywood Records
Pocketful of Sunshine,Natasha Bedingfield,Sony Music
Love Like This,Natasha Bedingfield feat. Sean Kingston,Epic
Closer,Ne-Yo,?
Miss Independent,Ne-Yo,?
Stop And Stare,OneRepublic,Interscope Records
So What,Pink,?
Hypnotized,Plies feat. Akon,Slip-N-Slide Records
Bust It Baby Part 2,Plies feat. Ne-Yo,Big Gates Records
When I Grow Up,Pussycat Dolls,Interscope Records
Sexy Can I,Ray J and Yung Berg,?
The Boss,Rick Ross feat. T-Pain,Island Def Jam Music Group
Take A Bow,Rihanna,Def Jam Recordings
Don't Stop the Music,Rihanna,Mercury
Disturbia,Rihanna,Def Jam Recordings
Hate That I Love You,Rihanna feat. Ne-Yo,Def Jam Recordings
Into The Night,Santana feat. Chad Kroeger,Arista
Love Song,Sara Bareilles,Sony BMG Music Entertainment
Addicted,Saving Abel,Virgin Records America, Inc.
Take You There,Sean Kingston,Sony BMG Music Entertainment
Fall For You,Secondhand Serenade,Liberator Music
Sensual Seduction,Snoop Dogg,Geffen Records
Whatever You Like,T.I.,?
Live Your Life,T.I. feat. Rihanna,?
Love Story,Taylor Swift,Universal Music
Our Song,Taylor Swift,Big Machine Records
I Luv Your Girl,The-Dream,?
Lolli Lolli (Pop That Body),"Three 6 Mafia feat. Project Pat, Young D and Superpower",?
Can't Believe It,T-Pain feat. Lil Wayne,?
You're Gonna Miss This,Trace Adkins,?
Can't Help But Wait,Trey Songz,Atlantic
Love In This Club,Usher feat. Young Jeezy,LaFace Records
Independent,Webbie feat. Lil' Phat and Lil' Boosie,Trill Entertainment
Put On,Young Jeezy feat. Kanye West,Corporate Thugz Entertainment
Don't Trust Me,3OH!3,?
Right Now (Na Na Na),Akon,Universal Motown
Beautiful,Akon feat. Colby O'Donis and Kardinal Offishall,Universal Records
Gives You Hell,All-American Rejects,?
I Love College,Asher Roth,Street Records Corporation
Single Ladies (Put A Ring On It),Beyonce,?
If I Were A Boy,Beyonce,?
